Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,S1PL,MFP,MFN,S1PN,497-1242-6-ND
1,Unpolarized capacitor,C,C9 C10,0.022uF,C_0805_HandSoldering,2,http://datasheets.avx.com/X7RDielectric.pdf,https://www.digikey.com/product-detail/en/avx-corporation/08051C223KAT2A/478-1360-1-ND/564392,08051C223KAT2A,AVX Corporation,478-1360-1-ND,
2,Unpolarized capacitor,C,C1 C2 C4 C6 C7 C11 C12 C16 C17 C19 C21,0.1uF,C_0805_HandSoldering,11,http://datasheets.avx.com/X7RDielectric.pdf,https://www.digikey.com/product-detail/en/avx-corporation/08055C104KAT2A/478-1395-1-ND/564427,08055C104KAT2A,AVX Corporation,478-1395-1-ND,
3,Unpolarized capacitor,C,C8 C24,10uF,C_0805_HandSoldering,2,http://datasheets.avx.com/cx5r.pdf,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD106KAT2A/478-5167-1-ND/1913257,0805ZD106KAT2A,AVX Corporation,478-5167-1-ND,
4,Unpolarized capacitor,C,C18 C20,150pF,C_0805_HandSoldering,2,http://datasheets.avx.com/C0GNP0-Dielectric.pdf,https://www.digikey.com/product-detail/en/avx-corporation/08055A151JAT2A/478-1318-1-ND/564350,08055A151JAT2A,AVX Corporation,478-1318-1-ND,
5,Unpolarized capacitor,C,C3 C13 C14 C15 C22 C23,1uF,C_0805_HandSoldering,6,http://datasheets.avx.com/X7RDielectric.pdf,https://www.digikey.com/product-detail/en/avx-corporation/0805ZC105KAT2A/478-1405-1-ND/564437,0805ZC105KAT2A,AVX Corporation,478-1405-1-ND,
6,Unpolarized capacitor,C,C5 C26 C27 C28 C29,4.7uF,C_0805_HandSoldering,5,http://datasheets.avx.com/cx5r.pdf,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD475KAT2A/478-1415-1-ND/564447,0805ZD475KAT2A,AVX Corporation,478-1415-1-ND,
7,LED generic,LED,D1,LED Blue,LED_0805_HandSoldering,1,http://optoelectronics.liteon.com/upload/download/DS22-2000-233/LTST-C171TBKT(0630).pdf,https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171TBKT/160-1645-1-ND/573585,LTST-C171TBKT,Lite-On Inc.,160-1645-1-ND,
8,LED generic,LED,D2 D6,LED Green,LED_0805_HandSoldering,2,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171GKT.pdf,https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171GKT/160-1423-1-ND/386792,LTST-C171GKT,Lite-On Inc.,160-1423-1-ND,
9,LED generic,LED,D4,LED Orange,LED_0805_HandSoldering,1,http://optoelectronics.liteon.com/upload/download/DS-22-99-0170/LTST-C171AKT.pdf,https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171AKT/160-1419-1-ND/386784,LTST-C171AKT,Lite-On Inc.,160-1419-1-ND,
10,LED generic,LED,D3 D5,LED Red,LED_0805_HandSoldering,2,http://optoelectronics.liteon.com/upload/download/DS22-2000-109/LTST-C171KRKT.pdf,https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171KRKT/160-1427-1-ND/386800,LTST-C171KRK,Lite-On Inc.,160-1427-1-ND,
11,,Conn_01x04,J4,7SEG_DEBUG,Pin_Header_Straight_1x04_Pitch2.54mm,1,https://cdn.harwin.com/pdfs/Harwin_Product_Catalog_page_208.pdf,https://www.digikey.com/product-detail/en/harwin-inc/M20-9990445/952-2265-ND/3728229,M20-9990445,Harwin Inc.,952-2265-ND,
12,,Conn_01x02_Female,J3,JST,JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight,1,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf,https://www.digikey.com/product-detail/en/jst-sales-america-inc/B2B-PH-SM4-TB-LF-SN/455-1734-1-ND/926831,B2B-PH-SM4-TB(LF)(SN),JST Sales America Inc.,455-1734-1-ND,
13,,Conn_02x05_Odd_Even,J2,JTAG_SWD,Pin_Header_Straight_2x05_Pitch2.54mm,1,http://www.on-shore.com/wp-content/uploads/2015/09/302-sxxx.pdf,https://www.digikey.com/product-detail/en/on-shore-technology-inc/302-S101/ED1543-ND/2178422,302-S101,On Shore Technology Inc.,ED1543-ND,
14,3-pin audio jack receptable (stereo/TRS connector) with 2 switching contacts,SJ-2524,J1,SJ-2524,SJ-2524,1,http://www.cui.com/product/resource/sj-252x-smt-series.pdf,https://www.digikey.com/product-detail/en/cui-inc/SJ-2524-SMT-TR/CP-2524SJCT-ND/669703,SJ-2524-SMT-TR,CUI Inc.,CP-2524SJCT-ND,
15,speaker,Speaker,LS1,Speaker,WirePad-1x2-2.54mm,1,https://media.digikey.com/pdf/Data%20Sheets/Mallory%20Sonalert%20PDFs/PSR-57N08A01-AQ.PDF,https://www.digikey.com/product-detail/en/mallory-sonalert-products-inc/PSR-57N08A01-AQ/458-1136-ND/2071452,PSR-57N08A01-AQ,Mallory Sonalert Products Inc.,458-1136-ND,
16,Resistor,R,R1,10k,R_0805_HandSoldering,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,https://www.digikey.com/product-detail/en/yageo/RC0805JR-0710KL/311-10KARCT-ND/731188,RC0805JR-0710KL,Yageo,311-10KARCT-ND,
17,Resistor,R,R2,25,R_0805_HandSoldering,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,https://www.digikey.com/product-detail/en/yageo/RC0805FR-0724R9L/311-24.9CRCT-ND/730706,RC0805FR-0724R9L,Yageo,311-24.9CRCT-ND,
18,Resistor,R,R10,4.7k,R_0805_HandSoldering,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,https://www.digikey.com/product-detail/en/yageo/RC0805FR-074K7L/311-4.70KCRCT-ND/730876,RC0805FR-074K7L,Yageo,311-4.70KCRCT-ND,
19,Resistor,R,R3 R4 R5,40,R_0805_HandSoldering,3,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,https://www.digikey.com/product-detail/en/yageo/RC0805FR-0740R2L/311-40.2CRCT-ND/730887,RC0805FR-0740R2L,Yageo,311-40.2CRCT-ND,
20,Resistor,R,R8 R9,470,R_0805_HandSoldering,2,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,https://www.digikey.com/product-detail/en/yageo/RC0805JR-07470RL/311-470ARCT-ND/731280,RC0805JR-07470RL,Yageo,311-470ARCT-ND,
21,Resistor,R,R6 R7,51.1,R_0805_HandSoldering,2,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,https://www.digikey.com/product-detail/en/yageo/RC0805FR-0751R1L/311-51.1CRCT-ND/730961,RC0805FR-0751R1L,Yageo,311-51.1CRCT-ND,
22,"Rotary encoder, dual channel, incremental quadrate outputs, with switch",Rotary_Encoder_Switch,SW2,Rotary_Encoder_Switch,PEC11,1,http://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf,https://www.digikey.com/product-detail/en/bourns-inc/PEC11R-4215K-S0024/PEC11R-4215K-S0024-ND/4499662,PEC11R-4215K-S0024,Bourns Inc.,PEC11R-4215K-S0024-ND,
23,,SW_SPDT,SW1,SW_SPDT,CK_SPDT,1,http://www.ckswitches.com/media/1422/js.pdf,https://www.digikey.com/product-detail/en/c-k/JS102011SAQN/401-1999-1-ND/1640114,JS102011SAQN,C&K,401-1999-1-ND,
24,,AS1115,U3,AS1115,QSOP-24_3.9x8.7mm_Pitch0.635mm,1,http://ams.com/eng/content/download/18430/343782,https://www.digikey.com/product-detail/en/ams/AS1115-BSST/AS1115-BSSTCT-ND/2469597,AS1115-BSST,ams,AS1115-BSSTCT-ND,
25,,CS43L22,U6,CS43L22,QFN-40-1EP_6x6mm_Pitch0.5mm,1,https://d3uzseaevmutz1.cloudfront.net/pubs/proDatasheet/CS43L22_F2.pdf,https://www.digikey.com/product-detail/en/cirrus-logic-inc/CS43L22-CNZ/598-1650-ND/2024884,CS43L22-CNZ,Cirrus Logic Inc.,598-1650-ND,
26,"800mA Low-Dropout Linear Regulator, 1.8V fixed output, TO-220/TO-252/TO-263/SOT-223",LM1117-1.8,U1,LM1117-1.8,SOT-223,1,http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,https://www.digikey.com/product-detail/en/stmicroelectronics/LD1117S18TR/497-7308-1-ND/1883983,LD1117S18TR,STMicroelectronics,497-7308-1-ND,
27,"800mA Low-Dropout Linear Regulator, 1.8V fixed output, TO-220/TO-252/TO-263/SOT-223",LM1117-3.3,U2,LM1117-3.3,SOT-223,1,http://www.ti.com/lit/ds/symlink/lm1117.pdf,https://www.digikey.com/product-detail/en/stmicroelectronics/LD1117S33TR/497-1242-6-ND/1706544,LD1117S33TR,STMicroelectronics,,LM1117MP-3.3/NOPBCT-ND
28,"4 digit 7 segment Green LED, common anode",LTC-4727JS,U5,LTC-4727JS,LTC-4727,1,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTC-4727JS.pdf,https://www.digikey.com/product-detail/en/lite-on-inc/LTC-4727JS/160-1547-5-ND/408220,LTC-4727JS,Lite-On Inc.,160-1547-5-ND,
29,Li-Polymer Charge Management Controller,MCP73831,U8,MCP73831,SOT-23-5_HandSoldering,1,http://ww1.microchip.com/downloads/en/DeviceDoc/20001060AQ.pdf,https://www.digikey.com/product-detail/en/microchip-technology/MCP73831T-2ACI-OT/MCP73831T-2ACI-OTCT-ND/1979802,MCP73831T-2ACI/OT,Microchip Technology,MCP73831T-2ACI/OTCT-ND,
30,Micro-B USB connector,MICRO-B_USB,U7,MICRO-B_USB,MICRO-B_USB,1,http://portal.fciconnect.com/Comergent/fci/drawing/10118192.pdf,https://www.digikey.com/product-detail/en/amphenol-fci/10118192-0001LF/609-4613-1-ND/2785378,10118192-0001LF,Amphenol FCI,609-4613-1-ND,
31,,STMF411CEU6,U4,STM32F413CGU6,LQFP-48_7x7mm_Pitch0.5mm,1,http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/f6/1d/4a/d9/f9/96/43/2a/DM00282249/files/DM00282249.pdf/jcr:content/translations/en.DM00282249.pdf,https://www.digikey.com/product-detail/en/stmicroelectronics/STM32F413CGU6/497-17017-ND/6564709,STM32F413CGU6,STMicroelectronics,497-17017-ND,





Component Groups:,31
Component Count:,59
Fitted Components:,59
Number of PCBs:,1
Total components:,59
Schematic Version:,
Schematic Date:,
BoM Date:,Sat 28 Oct 2017 02:59:17 PM CDT
Schematic Source:,/home/blake/projects/stm32/nome/hardware/nome/nome.sch
KiCad Version:,Eeschema no-vcs-found-a562525~60~ubuntu16.04.1
